county,lat,lon,forest_kdry_metric,mill_kdry_metric,pulpwood_kdry_metric,Jesup -- Rayonier Advanced Materials Inc.,Oglethorpe -- International Paper Co.,Valdosta -- Packaging Corporation of America,"Conyers -- Pratt Industries USA, Inc.","Austell -- Sweetwater Paperboard Co., Inc.",Macon -- Irving Tissue Co.,Hawkinsville -- Hollingsworth & Vose Co.,Dublin -- Smurfit Westrock Paper USA,Rome -- International Paper Co.,Macon -- Graphic Packaging International Inc.,"Brunswick -- GP Cellulose, L.L.C.",Rincon -- Georgia-Pacific LLC,Port Wentworth -- International Paper Co.,Augusta -- Clearwater Paper Corp.,Albany -- Procter & Gamble Paper Products Co.,Austell -- Austell Boxboard Corp.
Dougherty,31.542698,-84.196083,5.196480824,0.0,32.576746785333484,157.04,61.35,79.55,179.43,174.15,108.97,76.51,118.87,210.11,111.11,177.86,223.51,227.73,233.29,6.79,173.05
Douglas,33.699556,-84.762297,6.396124595,0.0,7.242875151238253,259.02,141.9,251.25,49.5,33.38,106.9,151.53,162.32,37.08,110.5,331.91,266.97,271.19,172.03,179.81,33.59
Early,31.345434,-84.928206,16.87274706,0.0,59.73527845701502,207.56,100.04,123.6,213.35,185.25,151.68,127.03,169.38,213.23,153.82,228.37,274.03,278.25,276.0,57.39,185.46
Echols,30.696803,-82.907876,29.14759475,0.0,93.63306032240106,107.35,150.08,26.9,248.82,243.55,178.36,145.91,144.41,302.81,180.5,127.37,198.48,188.53,224.46,108.13,242.44
Effingham,32.341963,-81.338687,68.79069422,110.0916923,65.87938093424212,84.46,190.5,203.33,219.02,228.07,162.91,145.83,108.22,287.34,158.82,94.85,9.0,24.67,98.47,216.97,226.97
Elbert,34.119432,-82.840841,27.2290468,0.0,3.4296807877164497,203.2,172.43,277.66,81.85,109.87,129.57,177.94,144.27,152.79,129.27,271.63,182.28,197.95,83.66,233.39,111.0
Emanuel,32.608015,-82.291685,62.59951796,435.0706487,194.80547285212933,85.78,129.55,149.63,154.31,167.12,101.96,84.88,47.27,226.39,97.87,146.03,77.62,85.31,69.5,156.02,166.02
Evans,32.161365,-81.898072,15.48207546,0.0,16.480367433461,49.56,158.22,141.54,201.07,195.79,130.63,113.55,75.94,255.06,126.54,87.57,45.57,50.14,101.16,157.7,194.69
Fannin,34.886795,-84.271558,3.141208776,0.0,0.24897349876959743,330.74,213.62,322.97,120.71,116.29,178.62,223.25,234.05,85.86,182.22,403.63,305.0,342.91,206.37,278.7,117.3
Fayette,33.389927,-84.495376,0.65586223,0.0,2.4329950560000717,227.97,100.67,220.2,44.54,11.09,75.85,120.48,131.28,69.86,79.45,300.86,235.92,240.14,167.06,148.13,11.31
Floyd,34.242198,-85.222925,40.26883278,356.417628,52.10224982067032,308.8,191.68,301.04,98.77,94.35,156.69,201.31,212.11,24.68,160.29,381.69,316.75,320.97,221.29,227.92,95.36
Forsyth,34.235309,-84.133564,5.174566376,0.0,3.8973103721122087,275.15,158.02,267.38,55.74,60.69,123.03,167.66,178.45,64.0,126.63,348.04,254.79,287.32,156.16,223.11,61.71
Franklin,34.367864,-83.215658,8.371870626,0.0,9.117853946767449,232.03,197.78,307.14,81.17,105.66,162.79,207.42,155.0,130.94,128.35,300.46,211.12,226.79,112.49,262.87,106.67
Fulton,34.058115,-84.296171,13.29614368,0.0,5.4020485552319935,259.24,142.11,251.47,45.34,44.78,107.12,151.75,162.54,52.28,110.72,332.13,267.19,271.41,167.86,207.2,45.8
Gilmer,34.685979,-84.452696,10.98961352,19.76467024,3.7176550483800725,312.49,195.37,304.72,102.46,98.04,160.38,205.0,215.8,67.61,163.97,385.38,320.44,324.66,190.55,260.45,99.05
Glascock,33.216883,-82.6112,19.64582067,0.0,7.804775213325386,135.67,141.59,236.34,100.83,127.3,91.04,95.95,66.11,170.62,87.38,199.65,117.83,133.5,48.57,192.07,128.43
Glynn,31.217173,-81.501268,36.39314542,248.9176542,114.06399650668288,37.17,183.06,120.43,293.99,288.71,223.55,145.26,168.86,347.98,219.46,4.88,80.91,70.96,188.23,173.54,287.61
Gordon,34.501965,-84.898631,15.45864492,0.0,30.956991199464934,304.02,186.89,296.25,93.99,89.56,151.9,196.53,207.32,46.81,155.5,376.91,311.97,316.19,216.51,251.98,90.58
Grady,30.867067,-84.232294,24.01079289,0.0,57.34452244648137,161.13,112.94,61.09,224.68,219.41,154.22,121.77,164.12,263.53,156.37,181.15,252.26,242.31,278.55,58.38,218.31
Greene,33.549299,-83.166094,42.69320479,0.0,56.85477886817922,178.07,128.01,222.77,63.33,89.79,77.47,123.04,95.28,133.11,74.37,244.82,156.72,172.38,71.01,178.5,90.92
Gwinnett,33.956687,-84.022747,7.860671322,0.0,11.880658471127278,258.83,141.7,251.06,23.81,49.58,106.71,151.34,162.13,74.86,110.31,331.72,237.26,271.0,138.64,206.79,50.59
Habersham,34.627074,-83.501676,7.272978188,13.19522739,2.1784490931024227,263.84,197.42,306.77,97.78,105.29,162.43,207.05,175.17,130.57,166.02,332.26,242.92,258.59,144.3,262.5,106.31
Hall,34.29059,-83.819403,5.532226714,0.0,15.883970032123834,282.94,165.81,275.17,66.18,73.69,130.82,175.45,186.24,98.97,134.42,355.83,236.6,252.27,137.97,230.9,74.7
Hancock,33.259656,-82.998814,49.74717632,0.0,127.44563642409537,154.61,108.01,202.76,82.36,108.82,57.46,85.24,67.66,152.14,54.36,223.26,143.6,162.54,72.35,158.49,109.96
Haralson,33.78127,-85.200129,24.06454531,0.0,32.98714230123883,288.86,149.11,281.09,79.34,74.41,136.74,181.37,192.16,28.38,140.34,361.75,296.81,301.03,201.87,186.87,73.16
Harris,32.725179,-84.910464,27.79827116,0.0,36.40803968023278,215.81,75.04,191.1,111.63,83.53,84.41,106.37,135.85,111.51,89.32,255.4,240.5,244.72,234.15,110.35,83.74
Hart,34.341053,-82.950328,5.853225145,0.0,2.366774723092721,221.98,176.83,282.06,86.47,126.61,133.97,182.34,160.31,151.89,133.66,290.41,201.07,216.74,102.44,237.79,127.63
Heard,33.278622,-85.113782,23.68414356,0.0,82.52060593711836,261.31,109.91,228.42,78.02,49.9,109.19,136.28,164.61,62.5,112.79,334.2,269.26,273.48,200.54,147.67,50.11
Henry,33.451994,-84.136777,12.26809417,0.0,17.14348201171968,207.41,90.29,199.64,19.27,18.56,55.29,99.92,110.71,77.33,58.89,280.3,215.36,219.58,134.22,155.37,18.6
